
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1937"	"0.5798"	"1.0462"	"1.8664"	"4.9104"	"4.5553"	"2.9064"	"5.9184"	"4.7849"	"8.0585"	"7.2593"	"2.8336"	"1.4737"
"1938"	"0"	"0.8449"	"1.4958"	"3.4003"	"3.8394"	"4.1296"	"6.6543"	"8.7666"	"7.0389"	"4.0138"	"1.143"	"0.5912"
"1939"	"0.9834"	"0"	"1.3516"	"6.353"	"2.3152"	"3.4255"	"6.2065"	"7.1332"	"6.9244"	"9.0645"	"6.1022"	"0.2549"
"1940"	"0"	"0.419"	"1.2002"	"5.3766"	"9.587"	"5.4632"	"6.3711"	"5.5168"	"7.7471"	"8.1949"	"6.1907"	"1.7566"
"1941"	"0.8337"	"0.7799"	"0"	"3.5581"	"6.4412"	"5.0634"	"5.5837"	"6.0117"	"8.425"	"6.3209"	"4.4278"	"2.7106"
"1942"	"0"	"0.6592"	"0"	"3.5395"	"6.3017"	"4.6846"	"5.4608"	"6.4671"	"7.7429"	"6.9566"	"2.445"	"2.186"
"1943"	"0.9999"	"0.3174"	"0.6907"	"4.0807"	"7.835"	"3.2378"	"6.9847"	"5.4968"	"6.6084"	"11.8263"	"3.49"	"0.5707"
"1944"	"0.1834"	"1.1063"	"3.0015"	"2.8967"	"5.2612"	"3.8692"	"7.5012"	"5.0681"	"5.3684"	"9.0562"	"5.8272"	"1.4399"
"1945"	"0"	"0.0734"	"0"	"5.0389"	"4.8884"	"3.3756"	"7.2324"	"5.0662"	"5.4055"	"6.3486"	"3.5716"	"0.2182"
"1946"	"0.7839"	"0.2562"	"1.5638"	"2.8075"	"7.5792"	"4.806"	"6.0195"	"6.7091"	"6.6799"	"7.343"	"6.9693"	"2.9285"
"1947"	"0.9999"	"0.7799"	"0.8707"	"2.8318"	"4.0393"	"4.2623"	"7.1979"	"6.1304"	"7.6145"	"7.9685"	"1.2924"	"1.1305"
"1948"	"0.9999"	"0"	"0.3518"	"2.2637"	"5.2197"	"4.8441"	"6.7518"	"8.7832"	"3.1999"	"6.0334"	"5.4258"	"1.1766"
