
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1941"	"28.474"	"30.354"	"33.724"	"34.691"	"33.251"	"29.144"	"28.67"	"28.69"	"28.84"	"28.829"	"28.045"	"27.28"
"1942"	"28.059"	"30.525"	"33.059"	"34.421"	"33.582"	"29.621"	"27.991"	"27.986"	"28.966"	"28.755"	"27.325"	"27.652"
"1943"	"28.408"	"29.756"	"33.258"	"33.512"	"31.821"	"28.506"	"27.324"	"28.212"	"27.957"	"27.424"	"27.605"	"26.552"
"1944"	"28.36"	"30.121"	"32.011"	"33.347"	"33.251"	"29.444"	"27.529"	"28.612"	"28.936"	"28.69"	"27.897"	"26.873"
"1945"	"28.381"	"31.167"	"33.028"	"33.726"	"33.157"	"29.616"	"28.159"	"28.016"	"28.757"	"28.794"	"27.222"	"27.231"
"1946"	"27.289"	"29.946"	"33.314"	"33.935"	"32.75"	"29.306"	"27.855"	"27.897"	"28.814"	"28.811"	"27.755"	"26.982"
"1947"	"28.595"	"29.75"	"32.967"	"33.23"	"33.675"	"29.596"	"27.703"	"28.322"	"28.396"	"28.143"	"27.304"	"27.252"
"1948"	"28.542"	"31.037"	"32.843"	"34.233"	"32.577"	"29.575"	"27.939"	"27.926"	"28.678"	"28.788"	"28.504"	"26.687"
"1949"	"27.626"	"29.982"	"33.305"	"34.129"	"32.586"	"29.148"	"27.706"	"28.039"	"28.137"	"28.882"	"27.019"	"26.354"
"1950"	"27.891"	"30.49"	"32.963"	"34.347"	"33.368"	"29.064"	"27.447"	"28.226"	"28.122"	"27.809"	"27.004"	"26.665"
"1951"	"28.143"	"30.224"	"33.237"	"33.907"	"32.796"	"28.618"	"27.686"	"28.707"	"29.59"	"28.959"	"28.419"	"26.755"
"1952"	"28.443"	"30.888"	"33.381"	"34.87"	"33.027"	"29.544"	"28.276"	"28.111"	"28.966"	"28.147"	"27.573"	"27.164"
"1953"	"28.345"	"29.983"	"33.998"	"33.481"	"34.072"	"30.275"	"27.846"	"28.256"	"28.728"	"28.689"	"27.141"	"26.846"
"1954"	"28.558"	"31.1"	"32.844"	"34.786"	"32.991"	"29.393"	"27.394"	"27.749"	"28.265"	"27.967"	"26.719"	"27.196"
"1955"	"27.998"	"30.887"	"33.006"	"33.912"	"31.719"	"29.081"	"27.916"	"27.241"	"29.153"	"28.752"	"26.954"	"26.088"
"1956"	"27.842"	"30.046"	"33.554"	"34.946"	"32.388"	"28.761"	"26.873"	"27.884"	"28.486"	"27.872"	"27.518"	"26.589"
"1957"	"27.872"	"30.591"	"32.341"	"33.903"	"33.316"	"29.1"	"27.822"	"28.104"	"29.028"	"28.922"	"27.812"	"27.772"
"1958"	"28.637"	"31.558"	"33.697"	"34.339"	"32.53"	"30.189"	"27.88"	"28.448"	"28.581"	"28.565"	"28.296"	"27.196"
"1959"	"28.843"	"31.228"	"33.357"	"34.628"	"33.574"	"29.186"	"27.303"	"28.162"	"29.013"	"28.948"	"27.911"	"27.463"
"1960"	"28.86"	"30.567"	"33.507"	"34.589"	"32.823"	"29.699"	"28.474"	"28.787"	"28.636"	"28.776"	"27.067"	"27.204"
"1961"	"28.379"	"31.377"	"34.376"	"34.834"	"32.582"	"29.081"	"27.296"	"28.176"	"28.788"	"28.565"	"27.511"	"27.314"
"1962"	"28.142"	"30.524"	"33.056"	"33.49"	"32.307"	"30.041"	"28.404"	"28.111"	"28.812"	"28.327"	"27.611"	"27.325"
"1963"	"27.658"	"29.646"	"32.964"	"33.537"	"33.118"	"29.429"	"28.759"	"28.313"	"29.435"	"28.747"	"28.109"	"27.399"
"1964"	"28.244"	"30.918"	"33.683"	"35.344"	"34.056"	"29.82"	"28.685"	"27.921"	"28.137"	"29.03"	"26.909"	"26.758"
"1965"	"27.608"	"30.228"	"33.127"	"33.631"	"33.326"	"29.781"	"28.133"	"28.166"	"29.282"	"30.001"	"28.661"	"27.76"
"1966"	"29.221"	"31.506"	"33.998"	"34.711"	"33.108"	"29.977"	"28.404"	"29.169"	"28.969"	"28.409"	"27.971"	"27.436"
"1967"	"28.001"	"29.904"	"32.513"	"34.497"	"33.349"	"29.661"	"27.187"	"27.577"	"28.472"	"27.671"	"27.651"	"27.767"
"1968"	"28.111"	"30.924"	"32.939"	"33.76"	"33.506"	"29.799"	"27.919"	"28.657"	"29.097"	"28.48"	"27.99"	"27.496"
"1969"	"28.242"	"31.315"	"34.259"	"34.929"	"33.192"	"30.03"	"28.165"	"28.626"	"28.557"	"28.414"	"28.081"	"27.177"
"1970"	"28.626"	"30.688"	"33.625"	"34.797"	"32.668"	"29.233"	"28.165"	"27.859"	"28.814"	"28.381"	"27.24"	"26.466"
"1971"	"28.643"	"30.664"	"32.507"	"34.21"	"32.677"	"28.33"	"28.158"	"28.19"	"29.076"	"28.226"	"27.027"	"26.457"
"1972"	"27.45"	"30.77"	"32.701"	"34.476"	"32.46"	"30.678"	"28.397"	"28.695"	"29.666"	"28.963"	"28.226"	"27.681"
"1973"	"28.825"	"31.291"	"33.774"	"35.467"	"33.802"	"29.751"	"28.664"	"27.567"	"29.044"	"28.604"	"27.68"	"26.851"
"1974"	"28.214"	"30.298"	"33.441"	"34.893"	"32.75"	"29.499"	"28.132"	"27.997"	"28.47"	"28.182"	"27.899"	"26.944"
"1975"	"28.024"	"31.585"	"33.628"	"35.118"	"32.941"	"29.055"	"27.613"	"27.981"	"28.413"	"28.054"	"26.945"	"26.535"
"1976"	"26.844"	"29.809"	"33.554"	"33.729"	"33.277"	"30.275"	"28.548"	"28.177"	"29.305"	"29.312"	"28.157"	"27.821"
"1977"	"28.319"	"30.968"	"33.411"	"34.484"	"32.067"	"29.407"	"28.148"	"28.412"	"29.483"	"28.541"	"28.249"	"27.342"
"1978"	"28.564"	"30.783"	"33.306"	"34.434"	"32.626"	"28.481"	"27.541"	"27.819"	"28.891"	"29.062"	"28.394"	"27.469"
"1979"	"28.925"	"31.291"	"33.399"	"34.782"	"33.161"	"29.636"	"27.094"	"28.25"	"28.824"	"28.814"	"28.173"	"28.157"
"1980"	"28.217"	"31.011"	"33.39"	"34.406"	"33.704"	"28.816"	"28.127"	"28.108"	"29.646"	"29.278"	"28.288"	"28.266"
"1981"	"28.986"	"31.159"	"33.187"	"34.651"	"33.107"	"29.102"	"28.761"	"27.805"	"28.92"	"28.938"	"28.055"	"27.096"
"1982"	"28.142"	"31.342"	"34.004"	"34.799"	"33.189"	"29.194"	"28.395"	"28.602"	"29.53"	"29.785"	"28.427"	"27.399"
"1983"	"28.526"	"32.743"	"34.873"	"35.482"	"33.908"	"30.057"	"28.91"	"28.333"	"28.634"	"28.89"	"27.895"	"27.555"
"1984"	"28.939"	"30.06"	"32.247"	"33.83"	"34.013"	"29.078"	"27.822"	"28.311"	"29.235"	"28.569"	"27.931"	"27.866"
"1985"	"29.167"	"31.698"	"33.986"	"34.77"	"33.502"	"28.798"	"27.862"	"28.43"	"29.744"	"28.467"	"27.466"	"28.107"
"1986"	"28.135"	"30.651"	"33.732"	"35.183"	"33.6"	"29.359"	"28.678"	"28.203"	"29.422"	"29.34"	"28.12"	"28.096"
"1987"	"28.484"	"30.17"	"32.784"	"34.627"	"33.381"	"29.819"	"29.278"	"28.661"	"30.43"	"29.345"	"28.637"	"27.808"
"1988"	"28.354"	"32.022"	"34.404"	"33.998"	"33.245"	"30.033"	"28.126"	"28.161"	"28.852"	"29.327"	"28.169"	"27.477"
"1989"	"28.396"	"30.722"	"32.845"	"34.505"	"33.268"	"29.268"	"27.912"	"28.11"	"29.203"	"29.355"	"28.084"	"27.695"
"1990"	"28.542"	"31.329"	"33.927"	"35.154"	"32.033"	"29.143"	"28.097"	"28.003"	"29.747"	"28.913"	"28.236"	"27.587"
"1991"	"29.648"	"31.411"	"34.451"	"34.353"	"33.615"	"29.199"	"27.687"	"27.77"	"29.71"	"28.879"	"27.546"	"27.264"
"1992"	"27.534"	"31.365"	"33.314"	"34.493"	"32.736"	"29.355"	"28.363"	"28.236"	"29.317"	"28.978"	"28.421"	"26.832"
"1993"	"28.364"	"30.786"	"33.486"	"34.651"	"33.684"	"29.843"	"28.38"	"28.606"	"28.817"	"28.788"	"28.025"	"27.056"
"1994"	"28.65"	"31.217"	"33.796"	"34.185"	"33.572"	"29.615"	"27.855"	"28.735"	"29.507"	"28.86"	"27.35"	"26.638"
"1995"	"28.516"	"31.605"	"33.294"	"34.495"	"32.14"	"30.491"	"28.269"	"28.758"	"29.42"	"29.109"	"29.361"	"27.614"
"1996"	"29.129"	"30.976"	"33.899"	"34.132"	"34.155"	"29.589"	"28.681"	"28.322"	"29.131"	"28.726"	"28.632"	"27.254"
"1997"	"28.76"	"31.293"	"33.414"	"33.298"	"33.486"	"30.97"	"28.941"	"28.672"	"29.896"	"29.488"	"29.234"	"28.514"
"1998"	"29.676"	"32.334"	"34.739"	"35.356"	"33.963"	"30.802"	"28.656"	"28.911"	"29.278"	"29.095"	"28.794"	"27.873"
"1999"	"28.852"	"31.097"	"34.309"	"34.337"	"31.711"	"29.315"	"28.346"	"28.712"	"29.912"	"29.281"	"28.419"	"27.475"
"2000"	"29.319"	"31.659"	"33.367"	"34.48"	"32.726"	"28.932"	"28.166"	"28.217"	"29.597"	"28.926"	"28.636"	"27.292"
"2001"	"29.342"	"32.656"	"34.247"	"34.539"	"33.291"	"29.705"	"28.833"	"28.312"	"30.013"	"28.795"	"28.658"	"27.596"
"2002"	"29.494"	"30.761"	"34.077"	"34.954"	"33.353"	"29.827"	"29.033"	"28.869"	"30.558"	"29.681"	"28.554"	"28.166"
