
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1941"	"16.208"	"17.171"	"20.105"	"21.848"	"21.531"	"20.065"	"20.529"	"20.418"	"19.531"	"19.678"	"18.326"	"16.549"
"1942"	"15.791"	"17.314"	"19.423"	"21.583"	"21.825"	"20.558"	"19.85"	"19.706"	"19.675"	"19.603"	"17.635"	"16.886"
"1943"	"16.177"	"16.537"	"19.864"	"20.691"	"20.066"	"19.477"	"19.183"	"19.94"	"18.664"	"18.274"	"17.851"	"15.823"
"1944"	"16.128"	"16.946"	"18.357"	"20.523"	"21.531"	"20.436"	"19.388"	"20.341"	"19.644"	"19.538"	"18.204"	"16.144"
"1945"	"16.149"	"17.955"	"19.41"	"20.886"	"21.435"	"20.552"	"19.999"	"19.736"	"19.464"	"19.643"	"17.525"	"16.501"
"1946"	"15.059"	"16.77"	"19.698"	"21.094"	"20.995"	"20.248"	"19.714"	"19.624"	"19.506"	"19.658"	"18.065"	"16.252"
"1947"	"16.365"	"16.538"	"19.313"	"20.356"	"21.956"	"20.536"	"19.542"	"20.05"	"19.088"	"18.991"	"17.612"	"16.523"
"1948"	"16.277"	"17.859"	"19.225"	"21.393"	"20.822"	"20.53"	"19.798"	"19.645"	"19.35"	"19.636"	"18.813"	"15.958"
"1949"	"15.396"	"16.77"	"19.654"	"21.29"	"20.831"	"20.104"	"19.565"	"19.766"	"18.806"	"19.732"	"17.328"	"15.624"
"1950"	"15.66"	"17.28"	"19.316"	"21.543"	"21.648"	"20.023"	"19.304"	"19.955"	"18.791"	"18.657"	"17.314"	"15.9"
"1951"	"15.912"	"16.993"	"19.591"	"21.047"	"21.04"	"19.558"	"19.525"	"20.434"	"20.278"	"19.81"	"18.726"	"16.025"
"1952"	"16.212"	"17.705"	"19.734"	"22.009"	"21.271"	"20.536"	"20.135"	"19.84"	"19.674"	"18.996"	"17.882"	"16.393"
"1953"	"16.113"	"16.807"	"20.363"	"20.676"	"22.316"	"21.251"	"19.705"	"19.985"	"19.437"	"19.537"	"17.388"	"16.116"
"1954"	"16.293"	"17.924"	"19.233"	"21.981"	"21.236"	"20.365"	"19.255"	"19.477"	"18.973"	"18.794"	"17.022"	"16.425"
"1955"	"15.732"	"17.71"	"19.405"	"21.072"	"19.999"	"20.04"	"19.775"	"18.968"	"19.846"	"19.6"	"17.263"	"15.36"
"1956"	"15.612"	"16.834"	"19.958"	"22.107"	"20.632"	"19.752"	"18.731"	"19.613"	"19.196"	"18.719"	"17.826"	"15.859"
"1957"	"15.635"	"17.414"	"18.723"	"21.064"	"21.561"	"20.058"	"19.68"	"19.833"	"19.732"	"19.752"	"18.12"	"17.042"
"1958"	"16.406"	"18.381"	"20.043"	"21.516"	"20.774"	"21.145"	"19.737"	"20.175"	"19.268"	"19.414"	"18.604"	"16.431"
"1959"	"16.612"	"18.016"	"19.746"	"21.767"	"21.817"	"20.127"	"19.161"	"19.891"	"19.717"	"19.797"	"18.219"	"16.734"
"1960"	"16.629"	"17.356"	"19.891"	"21.712"	"21.103"	"20.693"	"20.333"	"20.514"	"19.325"	"19.624"	"17.356"	"16.433"
"1961"	"16.149"	"18.195"	"20.777"	"22.009"	"20.829"	"20.054"	"19.154"	"19.904"	"19.48"	"19.415"	"17.819"	"16.585"
"1962"	"15.905"	"17.312"	"19.438"	"20.686"	"20.55"	"21.012"	"20.262"	"19.84"	"19.521"	"19.178"	"17.863"	"16.597"
"1963"	"15.43"	"16.47"	"19.327"	"20.713"	"21.361"	"20.422"	"20.618"	"20.04"	"20.145"	"19.594"	"18.355"	"16.669"
"1964"	"15.971"	"17.743"	"20.07"	"22.518"	"22.299"	"20.779"	"20.543"	"19.649"	"18.806"	"19.86"	"17.218"	"16.029"
"1965"	"15.378"	"17.017"	"19.527"	"20.755"	"21.606"	"20.738"	"19.993"	"19.894"	"19.992"	"20.849"	"18.935"	"17.029"
"1966"	"16.954"	"18.293"	"20.399"	"21.87"	"21.387"	"20.968"	"20.262"	"20.897"	"19.672"	"19.257"	"18.277"	"16.706"
"1967"	"15.735"	"16.728"	"18.913"	"21.677"	"21.63"	"20.602"	"19.024"	"19.305"	"19.181"	"18.521"	"17.923"	"17.036"
"1968"	"15.881"	"17.749"	"19.308"	"20.899"	"21.75"	"20.757"	"19.778"	"20.378"	"19.785"	"19.309"	"18.298"	"16.767"
"1969"	"15.969"	"18.14"	"20.629"	"22.072"	"21.472"	"21.021"	"20.006"	"20.347"	"19.26"	"19.243"	"18.328"	"16.411"
